Country;1990;2000;2005;;
Afghanistan;1,309;1,015;867;;
Albania;789;769;794;;
Algeria;1,79;2,144;2,277;;
American Samoa;18;18;18;;
Andorra;16;16;16;;
Angola;60,976;59,728;59,104;;
Anguilla;6;6;6;;
Antigua and Barbuda;9;9;9;;
Argentina;35,262;33,77;33,021;;
Armenia;336;344;321;;
Aruba;n.s.;n.s.;n.s.;;
Australia;167,904;164,645;163,678;;
Austria;3,776;3,838;3,862;;
Azerbaijan;936;936;936;;
Bahamas;515;515;515;;
Bahrain;n.s.;n.s.;n.s.;;
Bangladesh;882;884;871;;
Barbados;2;2;2;;
Belarus;7,376;7,848;7,894;;
Belgium;677;667;667;;
Belize;1,653;1,653;1,653;;
Benin;3,322;2,675;2,351;;
Bermuda;1;1;1;;
Bhutan;3,035;3,141;3,195;;
Bolivia;62,795;60,091;58,74;;
Bosnia and Herzegovina;2,21;2,185;2,185;;
Botswana;13,718;12,535;11,943;;
Brazil;520,027;493,213;477,698;;
British Indian Ocean Territory;3;3;3;;
British Virgin Islands;4;4;4;;
Brunei Darussalam;313;288;278;;
Bulgaria;3,327;3,375;3,625;;
Burkina Faso;7,154;6,914;6,794;;
Burundi;289;198;152;;
Cambodia;12,946;11,541;10,447;;
Cameroon;24,545;22,345;21,245;;
Canada;310,134;310,134;310,134;;
Cape Verde;58;82;84;;
Cayman Islands;12;12;12;;
Central African Republic;23,203;22,903;22,755;;
Chad;13,11;12,317;11,921;;
Channel Islands;1;1;1;;
Chile;15,263;15,834;16,121;;
China;157,141;177,001;197,29;;
Colombia;61,439;60,963;60,728;;
Comoros;12;8;5;;
Congo;22,726;22,556;22,471;;
Cook Islands;15;16;16;;
Costa Rica;2,564;2,376;2,391;;
Côte d'Ivoire;10,222;10,328;10,405;;
Croatia;2,116;2,129;2,135;;
Cuba;2,058;2,435;2,713;;
Cyprus;161;173;174;;
Czech Republic;2,63;2,637;2,648;;
Democratic Republic of the Congo;140,531;135,207;133,61;;
Denmark;445;486;500;;
Djibouti;6;6;6;;
Dominica;50;47;46;;
Dominican Republic;1,376;1,376;1,376;;
Ecuador;13,817;11,841;10,853;;
Egypt;44;59;67;;
El Salvador;375;324;298;;
Equatorial Guinea;1,86;1,708;1,632;;
Eritrea;1,621;1,576;1,554;;
Estonia;2,163;2,243;2,284;;
Ethiopia;15,114;13,705;13;;
Faeroe Islands;n.s.;n.s.;n.s.;;
Falkland Islands;0;0;0;;
Fiji;979;1;1;;
Finland;22,194;22,475;22,5;;
France;14,538;15,351;15,554;;
French Guiana;8,091;8,063;8,063;;
French Polynesia;105;105;105;;
Gabon;21,927;21,826;21,775;;
Gambia;442;461;471;;
Georgia;2,76;2,76;2,76;;
Germany;10,741;11,076;11,076;;
Ghana;7,448;6,094;5,517;;
Gibraltar;0;0;0;;
Greece;3,299;3,601;3,752;;
Greenland;n.s.;n.s.;n.s.;;
Grenada;4;4;4;;
Guadeloupe;84;81;80;;
Guam;26;26;26;;
Guatemala;4,748;4,208;3,938;;
Guinea;7,408;6,904;6,724;;
Guinea-Bissau;2,216;2,12;2,072;;
Guyana;15,104;15,104;15,104;;
Haiti;116;109;105;;
Holy See;0;0;0;;
Honduras;7,385;5,43;4,648;;
Hungary;1,801;1,907;1,976;;
Iceland;25;38;46;;
India;63,939;67,554;67,701;;
Indonesia;116,567;97,852;88,495;;
Iran;11,075;11,075;11,075;;
Iraq;804;818;822;;
Ireland;441;609;669;;
Isle of Man;3;3;3;;
Israel;154;164;171;;
Italy;8,383;9,447;9,979;;
Jamaica;345;341;339;;
Japan;24,95;24,876;24,868;;
Jordan;83;83;83;;
Kazakhstan;3,422;3,365;3,337;;
Kenya;3,708;3,582;3,522;;
Kiribati;2;2;2;;
Kuwait;3;5;6;;
Kyrgyzstan;836;858;869;;
Lao PDR;17,314;16,532;16,142;;
Latvia;2,775;2,885;2,941;;
Lebanon;121;131;136;;
Lesotho;5;7;8;;
Liberia;4,058;3,455;3,154;;
Libyan Arab Jamahiriya;217;217;217;;
Liechtenstein;6;7;7;;
Lithuania;1,945;2,02;2,099;;
Luxembourg;86;87;87;;
Macedonia;906;906;906;;
Madagascar;13,692;13,023;12,838;;
Malawi;3,896;3,567;3,402;;
Malaysia;22,376;21,591;20,89;;
Maldives;1;1;1;;
Mali;14,072;13,072;12,572;;
Malta;n.s.;n.s.;n.s.;;
Marshall Islands;-;-;-;;
Martinique;46;46;46;;
Mauritania;415;317;267;;
Mauritius;39;38;37;;
Mayotte;6;6;5;;
Mexico;69,016;65,54;64,238;;
Micronesia, Federated States of;63;63;63;;
Monaco;0;0;0;;
Mongolia;11,492;10,665;10,252;;
Montserrat;4;4;4;;
Morocco;4,289;4,328;4,364;;
Mozambique;20,012;19,512;19,262;;
Myanmar;39,219;34,554;32,222;;
Namibia;8,762;8,033;7,661;;
Nauru;0;0;0;;
Nepal;4,817;3,9;3,636;;
Netherlands;345;360;365;;
Netherlands Antilles;1;1;1;;
New Caledonia;717;717;717;;
New Zealand;7,72;8,226;8,309;;
Nicaragua;6,538;5,539;5,189;;
Niger;1,945;1,328;1,266;;
Nigeria;17,234;13,137;11,089;;
Niue;17;15;14;;
North Korea;8,201;6,821;6,187;;
Northern Mariana Islands;35;34;33;;
Norway;9,13;9,301;9,387;;
Oman;2;2;2;;
Pakistan;2,527;2,116;1,902;;
Palau;38;40;40;;
Palestine, Occupied Territories;9;9;9;;
Panama;4,376;4,307;4,294;;
Papua New Guinea;31,523;30,132;29,437;;
Paraguay;21,157;19,368;18,475;;
Peru;70,156;69,213;68,742;;
Philippines;10,574;7,949;7,162;;
Pitcairn;4;4;4;;
Poland;8,881;9,059;9,192;;
Portugal;3,099;3,583;3,783;;
Puerto Rico;404;407;408;;
Qatar;n.s.;n.s.;n.s.;;
Republic of Moldova;319;326;329;;
Réunion;87;87;84;;
Romania;6,371;6,366;6,37;;
Russian Federation;808,95;809,268;808,79;;
Rwanda;318;344;480;;
Saint Helena;2;2;2;;
Saint Kitts and Nevis;5;5;5;;
Saint Lucia;17;17;17;;
Saint Pierre and Miquelon;3;3;3;;
Saint Vincent and the Grenadines;9;10;11;;
Samoa;130;171;171;;
San Marino;n.s.;n.s.;n.s.;;
Sao Tome and Principe;27;27;27;;
Saudi Arabia;2,728;2,728;2,728;;
Senegal;9,348;8,898;8,673;;
Serbia and Montenegro;2,559;2,649;2,694;;
Seychelles;40;40;40;;
Sierra Leone;3,044;2,851;2,754;;
Singapore;2;2;2;;
Slovakia;1,922;1,921;1,929;;
Slovenia;1,188;1,239;1,264;;
Solomon Islands;2,768;2,371;2,172;;
Somalia;8,282;7,515;7,131;;
South Africa;9,203;9,203;9,203;;
South Georgia - S. Sandwich Islands;0;0;0;;
South Korea;6,371;6,3;6,265;;
Spain;13,479;16,436;17,915;;
Sri Lanka;2,35;2,082;1,933;;
Sudan;76,381;70,491;67,546;;
Suriname;14,776;14,776;14,776;;
Swaziland;472;518;541;;
Sweden;27,367;27,474;27,528;;
Switzerland;1,155;1,199;1,221;;
Syrian Arab Republic;372;432;461;;
Tajikistan;408;410;410;;
Tanzania;41,441;37,318;35,257;;
Thailand;15,965;14,814;14,52;;
Timor-Leste;966;854;798;;
Togo;685;486;386;;
Tokelau;0;0;0;;
Tonga;4;4;4;;
Trinidad and Tobago;235;228;226;;
Tunisia;643;959;1,056;;
Turkey;9,68;10,052;10,175;;
Turkmenistan;4,127;4,127;4,127;;
Turks and Caicos Islands;34;34;34;;
Tuvalu;1;1;1;;
Uganda;4,924;4,059;3,627;;
Ukraine;9,274;9,51;9,575;;
United Arab Emirates;245;310;312;;
United Kingdom;2,611;2,793;2,845;;
United States of America;298,648;302,294;303,089;;
United States Virgin Islands;12;10;10;;
Uruguay;1,123;1,409;1,506;;
Uzbekistan;3,045;3,212;3,295;;
Vanuatu;440;440;440;;
Venezuela;52,026;49,151;47,713;;
Viet Nam;9,363;11,725;12,931;;
Wallis and Futuna Islands;6;5;5;;
Western Sahara;1,011;1,011;1,011;;
Yemen;549;549;549;;
Zambia;49,124;44,676;42,452;;
Zimbabwe;22,234;19,105;17,54;;
